EbN0_dB,BER,SER,FER,CI_lower,CI_upper,n_bit_errors,n_sym_errors,n_frame_errors,n_bits,n_symbols,n_frames,noise_var,BER_theoretical,modulation,channel
-2.0,0.13167333333333334,0.24669333333333332,1.0,0.12997156148739455,0.13339397087907787,19751,18502,150,150000,75000,150,0.3962232981152783,0.13064448852282917,qpsk,awgn
0.0,0.07936,0.15268,1.0,0.07800284189115096,0.0807387032987157,11904,11451,150,150000,75000,150,0.25,0.07864960352514258,qpsk,awgn
2.0,0.037526666666666667,0.07364,1.0,0.03657667211326145,0.038500349114173556,5629,5523,150,150000,75000,150,0.1577393361200483,0.037506128358925986,qpsk,awgn
4.0,0.012166666666666666,0.02416,1.0,0.011624224450441919,0.012734095716739714,1825,1812,150,150000,75000,150,0.09952679263837431,0.012500818040737566,qpsk,awgn
6.0,0.0025066666666666666,0.005013333333333333,0.9,0.0022660358693504983,0.002772779083239356,376,376,135,150000,75000,150,0.06279716078773949,0.002388290780932807,qpsk,awgn
8.0,0.00017333333333333334,0.00034666666666666667,0.16,0.00011829472517223995,0.00025397307413457457,26,26,24,150000,75000,150,0.03962232981152783,0.00019090777407599314,qpsk,awgn
10.0,6.666666666666667e-06,1.3333333333333333e-05,0.006666666666666667,1.176801064532023e-06,3.776620157920826e-05,1,1,1,150000,75000,150,0.025,3.87210821552205e-06,qpsk,awgn
12.0,0.0,0.0,0.0,0.0,2.5610010777217318e-05,0,0,0,150000,75000,150,0.015773933612004833,9.006010350628787e-09,qpsk,awgn
14.0,0.0,0.0,0.0,0.0,2.5610010777217318e-05,0,0,0,150000,75000,150,0.009952679263837432,6.810189128780772e-13,qpsk,awgn
