EbN0_dB,BER,SER,FER,CI_lower,CI_upper,n_bit_errors,n_sym_errors,n_frame_errors,n_bits,n_symbols,n_frames,noise_var,BER_theoretical,modulation,channel
-2.0,0.1318,0.1318,1.0,0.1300975269526925,0.13352133225924384,19770,19770,150,150000,150000,150,0.7924465962305566,0.13064448852282917,bpsk,awgn
0.0,0.07972,0.07972,1.0,0.0783600018493549,0.08110152490130398,11958,11958,150,150000,150000,150,0.5000000000000001,0.07864960352514258,bpsk,awgn
2.0,0.03809333333333333,0.03809333333333333,1.0,0.03713637596294501,0.03907394957314445,5714,5714,150,150000,150000,150,0.3154786722400967,0.037506128358925986,bpsk,awgn
4.0,0.0128,0.0128,1.0,0.012243471156655417,0.013381483237845902,1920,1920,150,150000,150000,150,0.19905358527674863,0.012500818040737566,bpsk,awgn
6.0,0.0026333333333333334,0.0026333333333333334,0.9266666666666666,0.0023864089082975748,0.002905732889756216,395,395,139,150000,150000,150,0.12559432157547898,0.002388290780932807,bpsk,awgn
8.0,0.00019333333333333333,0.00019333333333333333,0.17333333333333334,0.00013462008176507795,0.00027764669314130547,29,29,26,150000,150000,150,0.07924465962305566,0.00019090777407599314,bpsk,awgn
10.0,6.666666666666667e-06,6.666666666666667e-06,0.006666666666666667,1.176801064532023e-06,3.776620157920826e-05,1,1,1,150000,150000,150,0.049999999999999996,3.87210821552205e-06,bpsk,awgn
12.0,0.0,0.0,0.0,0.0,2.5610010777217318e-05,0,0,0,150000,150000,150,0.03154786722400967,9.006010350628787e-09,bpsk,awgn
14.0,0.0,0.0,0.0,0.0,2.5610010777217318e-05,0,0,0,150000,150000,150,0.01990535852767487,6.810189128780772e-13,bpsk,awgn
