EbN0_dB,BER,SER,FER,CI_lower,CI_upper,n_bit_errors,n_sym_errors,n_frame_errors,n_bits,n_symbols,n_frames,noise_var,BER_theoretical,modulation,channel
-2.0,0.18604,0.5854133333333333,1.0,0.1840787345488119,0.18801734648915536,27906,21953,150,150000,37500,150,0.19811164905763914,0.17903005859143525,qam16,awgn
0.0,0.14119333333333334,0.47904,1.0,0.13944028022811536,0.14296476452375187,21179,17964,150,150000,37500,150,0.12500000000000003,0.1391600135710116,qam16,awgn
2.0,0.09749333333333333,0.35058666666666666,1.0,0.09600247874966422,0.09900480431714492,14624,13147,150,150000,37500,150,0.07886966806002417,0.09755935237670886,qam16,awgn
4.0,0.058846666666666665,0.22093333333333334,1.0,0.05766695422552531,0.06004897499105015,8827,8285,150,150000,37500,150,0.04976339631918716,0.05861845741925091,qam16,awgn
6.0,0.02794,0.10872,1.0,0.027118004594788338,0.02878617432858665,4191,4077,150,150000,37500,150,0.031398580393869745,0.027871306319660706,qam16,awgn
8.0,0.009126666666666667,0.036186666666666666,1.0,0.008657824543983686,0.009620651332063475,1369,1357,150,150000,37500,150,0.019811164905763914,0.009247213737517426,qam16,awgn
10.0,0.00182,0.00728,0.8333333333333334,0.0016166839504465206,0.0020488328398914676,273,273,125,150000,37500,150,0.012499999999999999,0.0017541506178927247,qam16,awgn
12.0,0.00016,0.00064,0.16,0.0001075260324653091,0.00023807578310845953,24,24,24,150000,37500,150,0.007886966806002418,0.00013865868881261898,qam16,awgn
14.0,0.0,0.0,0.0,0.0,2.5610010777217318e-05,0,0,0,150000,37500,150,0.004976339631918718,2.763208001687779e-06,qam16,awgn
