EbN0_dB,BER,SER,FER,CI_lower,CI_upper,n_bit_errors,n_sym_errors,n_frame_errors,n_bits,n_symbols,n_frames,noise_var,BER_theoretical,modulation,channel
0.0,0.07987,0.07987,1.0,0.07820584925563,0.08156642893253115,7987,7987,100,100000,100000,100,0.5000000000000001,0.07864960352514258,bpsk,awgn
2.0,0.03783,0.03783,1.0,0.036665146205666785,0.039030361875694766,3783,3783,100,100000,100000,100,0.3154786722400967,0.037506128358925986,bpsk,awgn
4.0,0.01281,0.01281,1.0,0.012131480175883233,0.013525950168272667,1281,1281,100,100000,100000,100,0.19905358527674863,0.012500818040737566,bpsk,awgn
6.0,0.00247,0.00247,0.92,0.002180867678754301,0.0027973570777634527,247,247,92,100000,100000,100,0.12559432157547898,0.002388290780932807,bpsk,awgn
8.0,0.00017,0.00017,0.16,0.00010614636969491827,0.0002722550936344665,17,17,16,100000,100000,100,0.07924465962305566,0.00019090777407599314,bpsk,awgn
10.0,1e-05,1e-05,0.01,1.765202323777592e-06,5.664855365337279e-05,1,1,1,100000,100000,100,0.049999999999999996,3.87210821552205e-06,bpsk,awgn
